"radii","id","mask","mass","clumpId","color:0","color:1","color:2","linVelVec:0","linVelVec:1","linVelVec:2","angVelVec:0","angVelVec:1","angVelVec:2","linVelLen","angVelLen","SPH_Rho","SPH_Press","SPH_Neigh","normalStress:0","normalStress:1","normalStress:2","shearStress:0","shearStress:1","shearStress:2","normalStressNorm","forceVec:0","forceVec:1","forceVec:2","forceLen","torqueVec:0","torqueVec:1","torqueVec:2","torqueLen","materialId","Points:0","Points:1","Points:2"
1.4801,49,1,28523,-1,0.85,0.85,0.85,-0.021838,-0.083327,0,0,0,-3.5135e-13,0.086141,3.5135e-13,-1,0,7,4.4055e+06,-1.5068e+06,0,0,0,0,4.6561e+06,-42677,3.0189e+05,0,3.049e+05,0,0,-2.7224e-07,2.7224e-07,1,602.19,27.932,0
1.4955,50,1,29422,-1,1,0,0,-0.13626,-0.00089567,0,0,0,1.281e-13,0.13626,1.281e-13,-1,0,5,2.7784e+06,1.7991e+06,0,0,0,0,3.31e+06,13676,2.7816e+05,0,2.7849e+05,0,0,4.8953e-08,4.8953e-08,1,493.1,7.7921,0
1.2854,51,1,18681,-1,0,1,0,0.014989,-0.00077258,0,0,0,1.678e-14,0.015009,1.678e-14,-1,0,5,2.2533e+06,1.6169e+05,0,0,0,0,2.259e+06,1127.2,1.8286e+05,0,1.8286e+05,0,0,-4.7738e-08,4.7738e-08,1,163.64,12.396,0
1.0891,52,1,11364,-1,1,1,0,-0.022421,-0.061477,0,0,0,-6.4095e-13,0.065438,6.4095e-13,-1,0,6,8.5502e+06,8.9207e+05,0,0,0,0,8.5966e+06,2442.5,1.1382e+05,0,1.1384e+05,0,0,7.2876e-08,7.2876e-08,1,598.44,24.907,0
1.8183,53,1,52886,-1,0,1,0,0.024907,-0.0057327,0,0,0,9.1241e-15,0.025558,9.1241e-15,-1,0,6,2.7128e+06,2.8279e+06,0,0,0,0,3.9187e+06,-1911,5.2004e+05,0,5.2004e+05,0,0,1.2631e-08,1.2631e-08,1,200.92,18.336,0
1.4964,54,1,29472,-1,1,0,1,-0.026007,0.028947,0,0,0,-1.6817e-15,0.038914,1.6817e-15,-1,0,7,1.3115e+06,7.4753e+05,0,0,0,0,1.5095e+06,-3050.3,2.8427e+05,0,2.8429e+05,0,0,1.8743e-08,1.8743e-08,1,338.62,45.084,0
1.7717,55,1,48917,-1,0,1,0,-0.072301,0.0026006,0,0,0,-4.7116e-14,0.072348,4.7116e-14,-1,0,6,3.3886e+06,1.295e+06,0,0,0,0,3.6276e+06,-4566.5,4.8712e+05,0,4.8714e+05,0,0,-3.4273e-07,3.4273e-07,1,588.41,15.743,0
1.6325,56,1,38269,-1,0.85,0.85,0.85,-0.040996,-0.075407,0,0,0,-1.0686e-13,0.08583,1.0686e-13,-1,0,6,5.497e+06,-7.4303e+05,0,0,0,0,5.547e+06,28056,4.1591e+05,0,4.1685e+05,0,0,1.4552e-09,1.4552e-09,1,621.06,29.47,0
1.3043,57,1,19520,-1,0.5,0.5,0.5,-0.0037386,-1.3429e-05,0,0,0,0.0031881,0.0037386,0.0031881,-1,0,5,4.7476e+06,1.4537e+06,0,0,0,0,4.9652e+06,-78.898,1.9146e+05,0,1.9146e+05,0,0,103.33,103.33,1,63.494,1.2084,0
1.6899,58,1,42450,-1,1,0,1,-0.32079,0.11669,0,0,0,2.8089e-15,0.34136,2.8089e-15,-1,0,8,2.0901e+05,5.0745e+05,0,0,0,0,5.488e+05,-60632,3.9057e+05,0,3.9525e+05,0,0,-1.272e-07,1.272e-07,1,660.23,56.684,0
1.2801,59,1,18453,-1,0,1,1,0.045861,0.040693,0,0,0,-2.1145e-13,0.061312,2.1145e-13,-1,0,5,1.555e+06,-1.0342e+06,0,0,0,0,1.8675e+06,5843.7,1.8578e+05,0,1.8587e+05,0,0,9.1462e-08,9.1462e-08,1,577.54,38.379,0
1.6184,60,1,37290,-1,1,0,1,0.048884,-0.017329,0,0,0,-4.5415e-14,0.051865,4.5415e-14,-1,0,6,3.3472e+06,-2.8398e+05,0,0,0,0,3.3592e+06,2720.1,3.6674e+05,0,3.6675e+05,0,0,-3.4983e-08,3.4983e-08,1,188.84,39.624,0
1.2375,61,1,16670,-1,1,0,1,-0.18617,-0.057997,0,0,0,-2.0011e-14,0.19499,2.0011e-14,-1,0,5,7.5493e+05,-1.2291e+06,0,0,0,0,1.4424e+06,-12180,1.5977e+05,0,1.6023e+05,0,0,-1.1607e-07,1.1607e-07,1,512.51,57.686,0
1.4435,62,1,26460,-1,0,1,0,-0.17162,-0.02711,0,0,0,9.2251e-14,0.17374,9.2251e-14,-1,0,5,5.1457e+06,-3.1535e+05,0,0,0,0,5.1554e+06,7703.4,2.6353e+05,0,2.6365e+05,0,0,-2.5611e-09,2.5611e-09,1,458.66,12.805,0
